# GO	NS	enrichment	name	ratio_in_study	ratio_in_pop	p_uncorrected	depth	study_count	p_bonferroni	p_fdr_bh	study_items
GO:0000122	BP	e	negative regulation of transcription by RNA polymerase II	83/1277	886/43182	3.1803567619649175e-20	10	83	3.873992571749466e-16	3.873992571749466e-16	274, 650, 654, 857, 861, 948, 1028, 1050, 1108, 1408, 1488, 1786, 1788, 1910, 1942, 2100, 2146, 2308, 2354, 2625, 2810, 2908, 3204, 3280, 3720, 3725, 3952, 4094, 4286, 4487, 4692, 5138, 5468, 5481, 5494, 5928, 6134, 6256, 6597, 6659, 6913, 6935, 7020, 7227, 7329, 7421, 7430, 7538, 7690, 7704, 8535, 8850, 9079, 9096, 9139, 9314, 9555, 9839, 10127, 10157, 10443, 10848, 11080, 11335, 23286, 23414, 23598, 26155, 29128, 51085, 51222, 54880, 55657, 56940, 57473, 57680, 58495, 84159, 90865, 93986, 221895, 359948, 100128927
GO:0045944	BP	e	positive regulation of transcription by RNA polymerase II	94/1277	1157/43182	1.4684228958917477e-18	10	94	1.788685929485738e-14	8.94342964742869e-15	154, 650, 654, 657, 861, 1050, 1052, 1488, 1901, 1999, 2246, 2247, 2308, 2354, 2625, 2908, 3131, 3204, 3206, 3280, 3479, 3624, 3664, 3725, 3728, 4072, 4094, 4223, 4286, 4487, 4690, 4692, 4774, 5094, 5296, 5468, 5532, 5587, 5725, 5757, 6256, 6281, 6548, 6597, 6599, 6659, 6776, 6935, 6942, 7003, 7020, 7030, 7099, 7153, 7421, 7690, 7704, 8536, 8850, 9079, 9236, 9270, 9314, 9457, 9645, 9839, 10127, 10655, 10974, 23414, 23433, 28984, 28999, 29128, 51085, 51222, 51804, 55022, 55252, 55885, 57680, 58495, 64321, 64641, 79977, 83595, 84901, 84913, 90865, 116931, 136259, 148327, 200424, 375790
GO:0010628	BP	e	positive regulation of gene expression	51/1277	438/43182	1.0854889515418502e-16	8	51	1.3222340918731276e-12	4.407446972910426e-13	71, 284, 287, 338, 650, 654, 657, 857, 947, 948, 983, 1050, 1786, 2065, 2246, 2247, 2252, 2934, 3280, 3479, 3624, 4094, 4286, 5138, 5468, 5587, 5737, 5962, 6093, 7020, 7099, 7122, 7421, 7430, 8736, 8854, 9314, 9444, 10765, 27303, 28984, 54566, 55022, 58495, 64321, 90865, 114897, 128239, 158800, 100302692, 100506658
GO:0007165	BP	e	signal transduction	83/1277	1066/43182	1.8373461108858506e-15	4	83	2.2380712976700548e-11	5.0477734032617456e-12	148, 157, 301, 683, 947, 1040, 1389, 1393, 1398, 1452, 2065, 2100, 2200, 2246, 2247, 2252, 2625, 2774, 2791, 2810, 2908, 3479, 3489, 4653, 4690, 4828, 4883, 4921, 4969, 5179, 5468, 5532, 5587, 5590, 5602, 5797, 5905, 6093, 6242, 6461, 7301, 7410, 7436, 7481, 8536, 8611, 8613, 8839, 9370, 9590, 9618, 9754, 10087, 10144, 10395, 10752, 11216, 22821, 23433, 27306, 29953, 30819, 51655, 53342, 54518, 55908, 56882, 56940, 57569, 64399, 79817, 79874, 80763, 83478, 85415, 85480, 89941, 143872, 146057, 283298, 286077, 348094, 375790
GO:0045892	BP	e	negative regulation of DNA-templated transcription	54/1277	521/43182	2.0719864556529617e-15	9	54	2.5238867016308725e-11	5.0477734032617456e-12	650, 1028, 1050, 1052, 1063, 1108, 1112, 1408, 1410, 1488, 1788, 1999, 2146, 2167, 2308, 2625, 2908, 3204, 3280, 3609, 3725, 5468, 5928, 6597, 6935, 7020, 7329, 7421, 7481, 7704, 8535, 9139, 9314, 9370, 9686, 10765, 11335, 23414, 23598, 29969, 51085, 51222, 51655, 51804, 54880, 56849, 57680, 64855, 81559, 83595, 84159, 84913, 93986, 117581
GO:0045893	BP	e	positive regulation of DNA-templated transcription	59/1277	668/43182	1.2663045766944279e-13	9	59	1.5424856048714827e-09	2.570809341452471e-10	650, 861, 999, 1028, 1108, 1389, 1840, 2100, 2247, 2252, 2308, 2521, 2625, 3479, 3609, 3624, 3664, 3725, 4286, 5468, 5494, 5532, 5928, 6256, 6597, 6599, 6659, 6867, 6913, 7003, 7018, 7020, 7030, 7481, 7704, 8322, 8850, 9096, 9314, 9586, 11030, 11043, 23286, 23598, 29969, 51085, 51804, 55578, 55885, 57106, 57680, 64321, 64855, 83595, 84159, 84722, 84913, 253738, 284058
GO:0043066	BP	e	negative regulation of apoptotic process	45/1277	446/43182	1.1545512461532427e-12	6	45	1.406358872939265e-08	2.00908410419895e-09	284, 301, 580, 665, 835, 847, 983, 1410, 1910, 2065, 2308, 3316, 3479, 3875, 3952, 4282, 4286, 4487, 4889, 4921, 5139, 5590, 5737, 5757, 6134, 6548, 6790, 7020, 8535, 8837, 8870, 9104, 9530, 11167, 23530, 51129, 51804, 55615, 64399, 64855, 85480, 114804, 117581, 126393, 338557
GO:0008360	BP	e	regulation of cell shape	23/1277	130/43182	5.570567104881957e-12	6	23	6.785507790456711e-08	8.481884738070891e-09	301, 1398, 2038, 2039, 2534, 3679, 5064, 5962, 7430, 10395, 10435, 10810, 10979, 23136, 23433, 30011, 54873, 55742, 56882, 57619, 91584, 121512, 161176
GO:0008285	BP	e	negative regulation of cell population proliferation	39/1277	374/43182	1.3458174737611003e-11	5	39	1.6393402647883964e-07	1.8010095404685294e-08	148, 444, 650, 780, 1030, 1031, 1050, 1488, 1741, 1805, 1843, 2625, 2822, 3489, 3624, 3664, 3672, 4487, 5728, 5745, 5928, 6586, 6659, 7020, 7421, 7704, 8575, 8611, 8850, 8854, 9270, 9314, 10395, 11180, 23026, 23371, 28984, 64855, 83595
GO:0032869	BP	e	cellular response to insulin stimulus	19/1277	90/43182	1.5247073068875232e-11	8	19	1.857245970519692e-07	1.8010095404685294e-08	2308, 2690, 2822, 3952, 5105, 5140, 5290, 5296, 5315, 5468, 5590, 6548, 8837, 8850, 9370, 10580, 23433, 64506, 286753
